mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour
130,2023-08-25 14:17:27,50.9358353,5.3088134,27.0,30.0,258.0,262.0,845.0,800.0,79.0,71.0,74.0,65.0,2023-08-25,14:17:27
130,2023-08-25 14:06:20,50.9360349,5.3089844,26.0,28.0,265.0,293.0,800.0,795.0,77.0,65.0,71.0,60.0,2023-08-25,14:06:20
130,2023-08-07 09:18:09,50.935371,5.3107651,20.0,23.0,262.0,276.0,800.0,798.0,73.0,65.0,66.0,59.0,2023-08-07,09:18:09
130,2023-08-07 08:00:07,50.9353729,5.3107763,17.0,21.0,310.0,303.0,800.0,799.0,63.0,60.0,56.0,54.0,2023-08-07,08:00:07
130,2023-08-07 08:20:02,50.9353661,5.3107692,17.0,21.0,286.0,289.0,799.0,798.0,66.0,61.0,60.0,55.0,2023-08-07,08:20:02
130,2023-08-17 01:25:01,50.9353623,5.3107447,25.0,22.0,227.0,255.0,802.0,796.0,80.0,68.0,77.0,63.0,2023-08-17,01:25:01
130,2023-08-17 02:52:03,50.9353825,5.3107836,25.0,22.0,227.0,255.0,801.0,796.0,80.0,68.0,76.0,63.0,2023-08-17,02:52:03
130,2023-08-16 23:32:58,50.93538,5.3107664,24.0,23.0,234.0,269.0,802.0,801.0,80.0,66.0,73.0,61.0,2023-08-16,23:32:58
130,2023-08-21 11:09:52,50.9353793,5.3107513,32.0,32.0,227.0,224.0,799.0,797.0,80.0,75.0,77.0,70.0,2023-08-21,11:09:52
130,2023-08-21 11:46:54,50.9353624,5.3107374,35.0,35.0,220.0,220.0,797.0,805.0,81.0,77.0,77.0,72.0,2023-08-21,11:46:54
