mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2
188,2023-08-01 08:26:25,50.3928777,4.4011832,42.0,36.0,303.0,303.0,1086.0,1245.0,83.0,81.0,79.0,81.0
188,2023-08-01 14:25:35,50.418611,4.5319449,40.0,40.0,203.0,182.0,806.0,794.0,81.0,80.0,79.0,84.0
188,2023-08-01 07:00:24,50.3799792,4.3894591,41.0,41.0,182.0,172.0,802.0,798.0,89.0,88.0,85.0,89.0
188,2023-08-01 20:01:34,50.1914912,4.5359778,37.0,34.0,175.0,179.0,802.0,801.0,88.0,83.0,82.0,84.0
188,2023-08-01 06:30:22,50.2075725,4.5279011,41.0,39.0,334.0,300.0,1501.0,1503.0,88.0,86.0,86.0,87.0
188,2023-08-01 15:59:34,50.4038319,4.4387065,38.0,38.0,203.0,193.0,789.0,808.0,79.0,78.0,75.0,77.0
188,2023-08-01 03:25:21,50.0606184,4.4945587,35.0,37.0,262.0,207.0,929.0,878.0,81.0,80.0,77.0,80.0
188,2023-08-01 10:19:24,50.1015015,4.5135346,38.0,41.0,348.0,345.0,1707.0,1727.0,84.0,83.0,81.0,84.0
188,2023-08-01 16:56:34,50.2397897,4.4868677,44.0,37.0,293.0,262.0,1299.0,1286.0,87.0,85.0,81.0,87.0
188,2023-08-01 08:31:29,50.3630159,4.4025556,38.0,35.0,182.0,175.0,800.0,788.0,87.0,85.0,81.0,82.0
188,2023-08-01 16:52:33,50.2584115,4.435692850000001,38.0,37.0,227.0,193.0,933.5,878.5,83.5,81.0,84.0,82.5
188,2023-08-02 10:13:09,50.0906733,4.529894,39.0,41.0,210.0,189.0,801.0,795.0,80.0,79.0,76.0,81.0
188,2023-08-02 18:17:12,50.0994777,4.5176196,41.0,43.0,358.0,341.0,1925.0,1935.0,82.0,81.0,81.0,82.0
188,2023-08-02 16:04:25,50.403854,4.4380321,38.0,36.0,217.0,189.0,806.0,799.0,78.0,78.0,75.0,78.0
188,2023-08-02 05:50:04,50.1877187,4.5332781,40.0,38.0,317.0,279.0,1336.0,1338.0,88.0,86.0,84.0,89.0
188,2023-08-02 13:44:08,50.2721029,4.4218304,40.0,41.0,179.0,175.0,805.0,797.0,90.0,87.0,84.0,87.0
188,2023-08-02 13:57:19,50.3595797,4.4055003,39.0,37.0,327.0,296.0,1498.0,1492.0,90.0,85.0,85.0,87.0
188,2023-08-02 20:03:16,50.1915052,4.5359725,42.0,42.0,189.0,172.0,875.0,852.0,85.0,85.0,84.0,88.0
188,2023-08-02 05:03:10,50.3978826,4.4045037,40.0,35.0,386.0,362.0,1883.0,1769.0,81.0,80.0,79.0,81.0
188,2023-08-02 16:12:13,50.4038394,4.4386507,37.0,31.0,217.0,189.0,797.0,796.0,78.0,78.0,73.0,77.0
188,2023-08-02 17:47:21,50.0570559,4.4923884,36.0,37.0,207.0,189.0,794.0,804.0,79.0,77.0,76.0,79.0
188,2023-08-03 16:42:16,50.2826964,4.4092746,47.0,46.0,334.0,313.0,1925.0,1913.0,87.0,85.0,85.0,88.0
188,2023-08-03 03:37:19,50.1354217,4.5045419,38.0,35.0,189.0,172.0,838.0,794.0,87.0,86.0,80.0,83.0
188,2023-08-04 03:28:29,50.0956851,4.5252687,31.0,28.0,217.0,189.0,800.0,790.0,81.0,79.0,76.0,77.0
188,2023-08-04 14:50:21,50.4008356,4.4580907,31.0,31.0,255.0,238.0,803.0,796.0,73.0,69.0,62.0,61.0
188,2023-08-05 09:21:34,50.0575734,4.4928187,40.0,38.0,193.0,175.0,793.0,799.0,85.0,83.0,80.0,87.0
188,2023-08-05 16:48:54,50.2428929,4.4513289,41.0,41.0,303.0,286.0,1431.5,1421.0,88.5,83.0,84.5,91.0
188,2023-08-05 17:06:55,50.1217777,4.5017562,40.0,39.0,179.0,172.0,796.0,810.0,85.0,85.0,82.0,85.0
