mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,date,hour
112,2023-08-01 11:42:55,51.0315137,3.7278465,36.0,40.0,276.0,248.0,798.0,797.0,73.0,82.0,78.0,82.0,2023-08-01,11:42:55
112,2023-08-01 12:57:59,50.74229245,3.602334,38.0,37.0,300.0,258.0,805.0,799.0,68.0,81.0,71.0,77.0,2023-08-01,12:57:59
112,2023-08-01 14:09:58,51.0359642,3.7103735,41.0,36.0,269.0,255.0,797.0,796.0,74.0,81.0,78.0,78.0,2023-08-01,14:09:58
112,2023-08-01 08:50:53,50.7421967,3.6020444,34.0,40.0,296.0,251.0,796.0,800.0,69.0,81.0,70.0,77.0,2023-08-01,08:50:53
112,2023-08-01 12:39:55,50.8176391,3.6151989,43.0,41.0,476.0,431.0,1672.0,1666.0,76.0,83.0,73.0,81.0,2023-08-01,12:39:55
112,2023-08-01 10:42:51,51.1510682,3.6207299,41.0,38.0,451.0,434.0,1497.0,1498.0,83.0,80.0,83.0,82.0,2023-08-01,10:42:51
112,2023-08-01 11:46:49,51.0357285,3.7101813,40.0,40.0,286.0,251.0,796.0,806.0,71.0,82.0,72.0,79.0,2023-08-01,11:46:49
112,2023-08-01 18:48:58,51.0377318,3.7014222,26.0,35.0,317.0,258.0,800.0,805.0,68.0,82.0,66.0,79.0,2023-08-01,18:48:58
112,2023-08-01 04:11:45,50.9549367,3.629462,45.0,43.0,458.0,417.0,1582.0,1563.0,80.0,86.0,82.0,85.0,2023-08-01,04:11:45
112,2023-08-01 13:29:50,50.85146225,3.6015202,37.0,32.0,300.0,255.0,801.5,795.5,68.0,82.0,71.0,79.0,2023-08-01,13:29:50
112,2023-08-01 16:03:55,51.0099791,3.6713129,36.0,40.0,265.0,227.0,795.0,800.0,75.0,82.0,73.0,79.0,2023-08-01,16:03:55
112,2023-08-24 15:11:04,51.0158225,3.77396245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,62.0,2023-08-24,15:11:04
112,2023-08-01 18:05:01,51.0358122,3.7099895,38.0,41.0,251.0,248.0,799.0,799.0,78.0,81.0,77.0,79.0,2023-08-01,18:05:01
